date,MACD,RSI,BB_Middle,BB_Upper,BB_Lower,Moving Average2,Moving Average3,Volatility,MA_diff,ADX,Doji,Hammer_Signal,Engulfing,Harami,Three_crows,Open,High,Low,Close
2024-03-21 18:00:00,-0.0933531336020792,29.909308293479526,192.6325996398926,193.4256682925757,191.83953098720949,192.7358567374093,192.67457108270554,0.4511100368008171,-0.757859911237432,20.253138565074014,0,0,0,0,0,192.01300048828125,192.0760040283203,191.9499969482422,191.97799682617188
2024-03-21 19:00:00,-0.11782109397120166,18.032905938077434,192.58184967041015,193.42828277018089,191.73541657063942,192.70489283970423,192.66666630336218,0.4637645173516589,-0.8098885672432914,21.792479680237328,0,0,-1,0,0,191.97799682617188,192.01800537109375,191.8800048828125,191.89500427246094
2024-03-21 20:00:00,-0.13528490572355167,14.928773020007213,192.54244995117188,193.4376796863122,191.64722021603154,192.67239270891463,192.6558093116397,0.44910704857359046,-0.7603901454380662,23.693121424515198,0,0,0,1,0,191.89599609375,191.93299865722656,191.83200073242188,191.91200256347656
2024-03-21 21:00:00,-0.15116297906780574,7.7635827600729925,192.50695037841797,193.452792790008,191.56110796682793,192.64017868041992,192.63985697428384,0.39625808793057604,-0.7821769714355469,25.877559674133426,1,0,0,0,0,191.87600708007812,192.0240020751953,191.78599548339844,191.85800170898438
2024-03-21 22:00:00,-0.16490100531854068,9.500901984365612,192.47014999389648,193.46463374935362,191.47566623843935,192.60914284842355,192.61957114083427,0.37373786878136833,-0.7931485857282325,28.240759365521562,0,0,0,0,0,191.86399841308594,191.91400146484375,191.8000030517578,191.8159942626953
2024-03-21 23:00:00,-0.16392614425197394,19.633176463766986,192.44134979248048,193.45715730520175,191.4255422797592,192.56317847115653,192.6017376127697,0.32262187712317963,-0.5721811567034081,30.699706595342953,0,0,0,0,0,191.8090057373047,192.04400634765625,191.8070068359375,191.99099731445312
2024-03-22 00:00:00,-0.15909517335640544,22.286162699450685,192.40199966430663,193.41718322819446,191.3868161004188,192.5152141026088,192.5894041515532,0.25252952052341615,-0.48321642194474634,33.19195274011096,0,1,0,0,0,191.97000122070312,192.0749969482422,191.78799438476562,192.03199768066406
2024-03-22 01:00:00,-0.1537656113769117,27.46516709051184,192.348299407959,193.3198136115497,191.37678520436828,192.46992819649833,192.57580893380302,0.21283282235837148,-0.43992941720145495,35.52779536331015,1,0,0,0,2,192.0290069580078,192.23699951171875,191.97799682617188,192.02999877929688
2024-03-22 02:00:00,-0.1708442977895004,22.428485073026152,192.2709991455078,193.20585745504184,191.33614083597377,192.42249952043807,192.55790419805618,0.20293051264025086,-0.7785023280552537,37.75274698315146,0,0,0,0,0,192.02200317382812,192.04100036621094,191.4739990234375,191.6439971923828
2024-03-22 03:00:00,-0.18452131745186762,23.47874012533427,192.18544921875,193.02133297294998,191.34956546455,192.37628500802177,192.53638022286552,0.19451242966989635,-0.7602876935686425,39.79657906332208,0,1,0,0,0,191.64700317382812,191.6750030517578,191.447998046875,191.61599731445312
2024-03-22 04:00:00,-0.19284419271070874,22.493874892746007,192.11859970092775,192.90361192443766,191.33358747741784,192.33807100568498,192.51483263288225,0.15821910505040027,-0.7080661228724807,41.717129204903145,0,0,0,0,0,191.61599731445312,191.65499877929688,191.5,191.6300048828125
2024-03-22 05:00:00,-0.20484858862312194,28.041032514143595,192.04649963378907,192.77267309319703,191.3203261743811,192.30021395002092,192.48973737444197,0.18223668804804824,-0.7922183445521682,43.526006336846436,0,0,0,0,0,191.625,191.6719970703125,191.40899658203125,191.50799560546875
2024-03-22 06:00:00,-0.24054738091831496,15.702783975167321,191.95294952392578,192.6953378005924,191.21056124725916,192.24599947248186,192.45157078334265,0.26712356891770567,-1.2120028904506057,45.42778576579968,0,0,0,0,0,191.5050048828125,191.51699829101562,190.96099853515625,191.03399658203125
2024-03-22 07:00:00,-0.27547040368932585,15.285108633045965,191.86704940795897,192.68500294377026,191.0490958721477,192.18603515625,192.40828523181733,0.3440580040272885,-1.29803466796875,47.42629081497551,0,0,0,0,0,191.01800537109375,191.25999450683594,190.70700073242188,190.88800048828125
2024-03-22 08:00:00,-0.304803580783954,14.95206251270021,191.78269958496094,192.66795133098418,190.8974478389377,192.11464255196708,192.36376153855096,0.4021262659743728,-1.29463522774833,49.40386798417826,0,1,0,0,0,190.88699340820312,190.89700317382812,190.51400756835938,190.82000732421875
2024-03-22 09:00:00,-0.3240291567633733,16.907392488587107,191.70434951782227,192.6325438807259,190.77615515491863,192.03385652814592,192.31804729643324,0.440246387509257,-1.1918612888881057,51.14248026066995,0,0,0,0,0,190.8179931640625,190.96400451660156,190.73599243164062,190.8419952392578
2024-03-22 10:00:00,-0.3401675712595704,15.365792387350083,191.6210494995117,192.5693177960999,190.67278120292352,191.9476421901158,192.2693328857422,0.4687722355898491,-1.1716412135533005,52.55948921582438,0,1,0,0,0,190.84100341796875,190.84100341796875,190.63099670410156,190.7760009765625
2024-03-22 11:00:00,-0.3607809681838603,14.221131490570912,191.54914932250978,192.58180863082913,190.51649001419042,191.8498922075544,192.21766626267205,0.5048527367339758,-1.2598958696637794,53.66914673598992,0,0,0,0,0,190.77999877929688,190.7989959716797,190.51699829101562,190.58999633789062
2024-03-22 12:00:00,-0.36024839114568863,24.514686055845203,191.48439865112306,192.53050735459558,190.43828994765053,191.7731421334403,192.173213777088,0.5076695818393488,-0.9551489693778024,54.50424985309652,0,0,0,0,0,190.593994140625,190.86700439453125,190.37899780273438,190.8179931640625
2024-03-22 13:00:00,-0.3584548459864436,16.75805288663078,191.42294921875,192.48334844880148,190.36254998869853,191.69567816598075,192.11376153855096,0.4854143155010705,-0.9146723066057518,55.216027940662116,0,0,0,0,-2,190.82000732421875,190.8719940185547,190.56199645996094,190.781005859375
2024-03-22 14:00:00,-0.36526818298938224,13.346550540388336,191.3531494140625,192.44308396150916,190.26321486661584,191.61271395002092,192.0472615559896,0.45368286469866886,-1.0307132175990432,55.87346237825721,0,0,-1,0,0,190.7830047607422,190.822998046875,190.49600219726562,190.58200073242188
2024-03-22 15:00:00,-0.35954254901233185,18.631198009964677,191.2938995361328,192.38863450946366,190.19916456280197,191.54499980381556,191.98564256940568,0.38492265017486765,-0.8349930899483695,56.70050635278731,0,0,0,1,0,190.58299255371094,190.75100708007812,190.5800018310547,190.7100067138672
2024-03-22 16:00:00,-0.35376774367784947,22.298024511335626,191.23179931640624,192.31978973446337,190.1438088983491,191.47939246041435,191.93083299909318,0.3519311550480285,-0.8093942914690331,57.59090113466897,0,-1,0,0,-2,190.71099853515625,190.802001953125,190.6479949951172,190.6699981689453
2024-03-22 17:00:00,-0.34563963822498067,22.658916711502343,191.1723991394043,192.24606560076927,190.0987326780393,191.4172853742327,191.87749953497024,0.30474504553335197,-0.7472872052873925,58.53389811841007,1,0,0,0,0,190.66700744628906,190.71600341796875,190.54800415039062,190.6699981689453
2024-03-22 18:00:00,-0.3336887473760157,23.542336969316494,191.11679916381837,192.16500256677992,190.06859576085682,191.35521371023995,191.82997567313058,0.22476372378817724,-0.6512189592633888,59.49097588102297,0,0,0,0,0,190.6649932861328,190.71400451660156,190.6300048828125,190.70399475097656
2024-03-22 19:00:00,-0.32074315617282423,25.352904259205488,191.05249938964843,192.03032024224686,190.07467853705,191.30796377999442,191.7856187366304,0.1168364534187308,-0.6029619489397362,60.50714563098488,1,0,0,0,2,190.70199584960938,190.7259979248047,190.60400390625,190.7050018310547
2024-03-22 20:00:00,-0.3025057147180803,39.8701619883764,190.9900993347168,191.85781699585868,190.12238167357492,191.2604991367885,191.74352337065199,0.0887863302134984,-0.47650255475724634,61.24215675880615,0,0,0,0,2,190.70199584960938,190.82000732421875,190.63999938964844,190.78399658203125
2024-03-25 00:00:00,-0.29821581087060167,37.471381919183706,190.9165496826172,191.65249819638203,190.18060116885235,191.20867810930525,191.69571395147415,0.08966028832627843,-0.6496723720005662,61.6745277342306,0,0,0,0,0,190.60800170898438,190.6790008544922,190.47999572753906,190.5590057373047
2024-03-25 01:00:00,-0.2797990550793088,47.99671212089279,190.8724494934082,191.5259433019507,190.2189556848657,191.16524941580636,191.64673759823754,0.08597976686212273,-0.40325600760323255,61.67043081333707,0,0,1,0,0,190.55799865722656,190.77099609375,190.42799377441406,190.76199340820312
2024-03-25 02:00:00,-0.2683005663231768,44.044658817420135,190.82464981079102,191.38191397860322,190.2673856429788,191.12114225115096,191.5885471162342,0.07862390483253637,-0.4611385890415818,61.45225893812405,0,0,0,-1,0,190.7570037841797,190.79600524902344,190.5500030517578,190.66000366210938
2024-03-25 03:00:00,-0.2573123545713827,45.565370112092566,190.77539978027343,191.18841063593462,190.36238892461225,191.0758923121861,191.52795192173548,0.07654314450861337,-0.43088803972517553,61.003803665792766,0,0,0,0,0,190.6580047607422,190.73199462890625,190.6020050048828,190.64500427246094
2024-03-25 04:00:00,-0.23676818434731217,57.261800491753114,190.7400001525879,190.968998588719,190.5110017164568,191.03810664585657,191.46778542654855,0.07633278486486518,-0.23810359409876014,60.22082041524143,0,0,0,0,0,190.64100646972656,190.81399536132812,190.63999938964844,190.8000030517578
2024-03-25 05:00:00,-0.22173689255126305,46.80179965720815,190.72509994506837,190.90761638149274,190.542583508644,190.99953515189034,191.41466631208147,0.07023037688570027,-0.2635427202497169,59.27264947141655,0,0,0,0,0,190.8000030517578,190.8470001220703,190.68800354003906,190.73599243164062
2024-03-25 06:00:00,-0.20641776585949856,48.93079785434688,190.71839981079103,190.88487019611108,190.55192942547097,190.9553565979004,191.3623806181408,0.06825924740322903,-0.20135879516601562,58.01681350936905,0,1,0,0,0,190.73399353027344,190.7570037841797,190.62399291992188,190.75399780273438
2024-03-25 07:00:00,-0.19522631733525486,55.32696747401063,190.7124496459961,190.87199128279016,190.552908009202,190.9078211103167,191.30990455264137,0.0605328991500036,-0.20681708199637683,56.45760999593889,0,0,0,0,0,190.75799560546875,190.83299255371094,190.58999633789062,190.7010040283203
2024-03-25 08:00:00,-0.1767327287340663,55.3263572033551,190.71179962158203,190.86921060629436,190.5543886368697,190.86492810930525,191.26759483700707,0.06856048075206567,-0.035933358328691156,54.41912901367094,0,0,0,0,0,190.69500732421875,190.9149932861328,190.59800720214844,190.82899475097656
2024-03-25 09:00:00,-0.15084311997790678,62.804041103513086,190.72229919433593,190.9204759355278,190.52412245314406,190.84142793927873,191.23138028099424,0.09691192234982701,0.14456449236189428,51.985004131929365,0,0,0,0,0,190.82699584960938,191.01499938964844,190.7480010986328,190.98599243164062
2024-03-25 10:00:00,-0.1272738076382609,63.45567421122329,190.74319915771486,190.96888353102167,190.51751478440804,190.8197135925293,191.19802311488561,0.11753038779944518,0.18828201293945312,49.180894109580045,0,1,0,0,2,190.97999572753906,191.0290069580078,190.86000061035156,191.00799560546875
2024-03-25 11:00:00,-0.09714762452020409,66.97880188378909,190.76109924316407,191.05747864060424,190.4647198457239,190.80349894932337,191.16788010370163,0.15763040168638712,0.3724959237235055,46.03426850242496,0,0,0,0,2,191.0030059814453,191.26300048828125,190.97000122070312,191.17599487304688
2024-03-25 12:00:00,-0.0750347280799133,64.58370863313165,190.7782989501953,191.11651546084025,190.44008243955037,190.78982053484236,191.14638010660806,0.17678970846781886,0.33517946515763697,42.53193616705046,0,0,0,0,-2,191.177001953125,191.30799865722656,191.02200317382812,191.125
2024-03-25 13:00:00,-0.047600521430751996,66.27038591958663,190.81299896240233,191.20460750436385,190.42139042044082,190.79846354893274,191.12645140148345,0.21107769055484837,0.4775374276297555,38.97548910226582,0,0,0,0,0,191.1300048828125,191.34800720214844,191.06700134277344,191.2760009765625
2024-03-25 14:00:00,-0.016819028595506325,80.0284437220642,190.84829864501953,191.31992045515568,190.37667683488337,190.81732068743025,191.1123086838495,0.23794505261424895,0.5986796787806838,35.46763110708841,0,0,0,0,0,191.27200317382812,191.4409942626953,191.27000427246094,191.41600036621094
2024-03-25 15:00:00,0.010656066786168594,77.52439860888819,190.88779907226564,191.42440024783457,190.3511978966967,190.84017780848913,191.0999755859375,0.2705932573645008,0.619828905378057,32.20379375273243,0,0,1,0,2,191.41600036621094,191.5050048828125,191.2740020751953,191.4600067138672
2024-03-25 16:00:00,0.03212401984717417,83.73017936054069,190.92689895629883,191.50873337914732,190.34506453345034,190.86196354457311,191.0894277663458,0.2825160793184543,0.5900323050362601,29.071641255122703,1,0,0,-1,0,191.45599365234375,191.56500244140625,191.38299560546875,191.45199584960938
2024-03-25 17:00:00,0.051641898882252235,85.36928755343033,190.96649932861328,191.59072129968217,190.3422773575444,190.88767787388392,191.07952299572173,0.2855361710186047,0.6083243233817086,26.14875484781603,0,0,0,0,0,191.45399475097656,191.4980010986328,191.38299560546875,191.49600219726562
2024-03-25 18:00:00,0.06276422219690403,78.13508340169538,191.00264892578124,191.64653717912995,190.35876067243254,190.91760635375977,191.0692847115653,0.2862870136082262,0.5103874206542969,23.570981070427592,0,0,0,0,0,191.49400329589844,191.51600646972656,191.41700744628906,191.42799377441406
2024-03-25 19:00:00,0.06893658413989101,80.1469763267138,191.03304901123047,191.69073445358868,190.37536356887227,190.93810653686523,191.05918956938245,0.2709708812473897,0.4538917541503906,21.128536921871955,0,0,0,0,0,191.427001953125,191.45599365234375,191.36000061035156,191.39199829101562
2024-03-25 20:00:00,0.06911995558564854,74.97789566755084,191.07124862670898,191.70116631146337,190.4413309419546,190.9574634007045,191.0432848249163,0.24575054702978005,0.36553464617048803,18.909710784479365,0,0,0,0,0,191.39199829101562,191.42300415039062,191.3070068359375,191.322998046875
2024-03-25 21:00:00,0.06781403997769075,77.70635196112461,191.09864883422853,191.71953601108046,190.4777616573766,190.98346328735352,191.0260943458194,0.19978637788596826,0.3265342712402344,16.935556535334708,1,0,0,0,0,191.31199645996094,191.38499450683594,191.22999572753906,191.30999755859375
2024-03-25 22:00:00,0.06751865990901251,75.37647600061341,191.1323486328125,191.7255373564232,190.5391599092018,191.0057487487793,191.009522937593,0.15982827876157996,0.3282508850097656,15.22696938498234,0,0,0,0,0,191.31199645996094,191.36099243164062,191.23300170898438,191.33399963378906
